app_name,rcv_com.google.firebase.iid.firebaseinstanceidreceiver,srv_com.google.android.gms.measurement.appmeasurementservice,perm_android.permission.read_phone_state,srv_com.google.android.gms.ads.adservice,prv_com.google.android.gms.ads.mobileadsinitprovider,rcv_androidx.work.impl.background.systemalarm.constraintproxy$storagenotlowproxy,srv_com.google.android.gms.auth.api.signin.revocationboundservice,perm_android.permission.change_wifi_state,act_com.facebook.facebookactivity,used_requestnetwork,activity_started,has_fatal_exception,read_contacts,access_location,total_packets,unique_dest_ips,frequent_beaconing_detected,avg_packet_size,max_packet_size,min_packet_size,avg_flow_duration,flow_entropy,max_inter_arrival_time,label
com_radio_fmradio,1,1,1,0,1,1,1,1,1,0,1,0,0,1,9.284414359075148,2.4435197177908914,1,9.915767034069614,11.0888260448935,3.890016510527619,0.01128480583154704,0.7713955614835343,2.93675684053542,0
com_athermobileapp,1,1,0,1,1,1,1,1,1,0,0,0,0,0,8.136005565810994,2.0412724666263427,0,9.807209167132111,11.088358411945459,3.0786358163435996,0.01763188376753094,0.7872019159636501,1.9403278631834593,0
com_amazon_sft_rangoli_seller_app,1,1,1,0,0,0,0,0,1,0,0,0,0,0,7.907612810085578,1.9956144030118255,0,9.605651305797029,11.088810723232891,3.052595870395459,0.014584567673807152,0.8352272043969657,3.205628446560276,0
screenrecorder_recorder_editor,1,1,1,0,0,1,1,1,1,0,0,0,0,1,8.781706880042833,2.2831999616041747,0,9.592058129563664,11.088097468647248,3.901749213862359,0.014799585101343963,0.7796647300841791,2.342786004313769,0
redwhite_cricket_liveline_score,1,1,0,0,0,1,1,0,1,0,0,0,0,1,9.74905079449376,2.145327704655492,0,9.932084747292233,11.08886679487026,4.09580816004815,0.011631309076083065,0.7321034277872722,2.9658800237577823,0
com_toh_mp3_music_player,1,1,0,0,1,1,1,1,1,0,0,0,0,0,8.560538322780449,2.014661540986512,0,9.855099355487717,11.088426864303297,4.028115949413281,0.015531984400884036,0.7641555547166463,3.2597200542358475,0
com_suntv_sunnxt,0,1,0,1,1,1,1,1,1,0,0,0,0,1,8.194040868201219,1.9582643715361603,0,9.600241330816987,11.088433022169411,3.0316204249628664,0.02016748457383291,0.7800413846196271,2.3100746266797754,0
com_messenger_sms_messages,1,1,1,0,0,1,1,1,1,0,0,0,0,1,9.16778071524238,2.2001970717401496,0,9.912692980571697,11.08867497359756,3.106070020573818,0.010880728901240484,0.8454382549210723,2.8585490802460383,0
redwhite_cricket_liveline_score,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7.779903250710896,2.3800128480456464,0,9.530579754341801,11.0879411440292,3.882589292425386,0.031974567166453506,0.8579778697383719,2.67588057903293,0
com_magic_retouch,1,1,1,0,0,1,1,1,1,0,0,0,0,1,8.616918782199667,2.6426874226752295,1,9.638509905678854,11.088744215016755,3.891905522953316,0.007347064687456418,0.8530322720756768,3.0228933382468433,0
