app_name,prv_com.google.firebase.provider.firebaseinitprovider,rcv_androidx.work.impl.utils.forcestoprunnable$broadcastreceiver,act_com.google.android.play.core.common.playcoredialogwrapperactivity,rcv_androidx.work.impl.background.systemalarm.constraintproxy$networkstateproxy,rcv_androidx.work.impl.diagnostics.diagnosticsreceiver,rcv_androidx.work.impl.background.systemalarm.constraintproxy$batterychargingproxy,act_com.google.android.gms.ads.outofcontexttestingactivity,srv_com.google.android.datatransport.runtime.backends.transportbackenddiscovery,rcv_androidx.work.impl.background.systemalarm.reschedulereceiver,perm_android.permission.post_notifications,rcv_com.google.android.datatransport.runtime.scheduling.jobscheduling.alarmmanagerschedulerbroadcastreceiver,srv_androidx.work.impl.foreground.systemforegroundservice,srv_com.google.android.gms.measurement.appmeasurementjobservice,srv_com.google.android.gms.ads.adservice,perm_com.google.android.gms.permission.ad_id,perm_android.permission.access_adservices_ad_id,rcv_androidx.work.impl.background.systemalarm.constraintproxyupdatereceiver,srv_androidx.work.impl.background.systemalarm.systemalarmservice,act_com.google.android.gms.common.api.googleapiactivity,perm_android.permission.access_adservices_attribution,prv_androidx.startup.initializationprovider,rcv_androidx.work.impl.background.systemalarm.constraintproxy$batterynotlowproxy,srv_com.google.firebase.components.componentdiscoveryservice,perm_android.permission.foreground_service,srv_com.google.android.gms.measurement.appmeasurementservice,srv_androidx.work.impl.background.systemjob.systemjobservice,rcv_androidx.profileinstaller.profileinstallreceiver,srv_androidx.room.multiinstanceinvalidationservice,rcv_com.google.android.gms.measurement.appmeasurementreceiver,rcv_androidx.work.impl.background.systemalarm.constraintproxy$storagenotlowproxy,perm_com.google.android.finsky.permission.bind_get_install_referrer_service,perm_android.permission.access_adservices_topics,prv_com.google.android.gms.ads.mobileadsinitprovider,srv_com.google.android.datatransport.runtime.scheduling.jobscheduling.jobinfoschedulerservice,access_location,read_contacts,used_sendtextmessage,has_fatal_exception,activity_started,used_requestnetwork,write_file,total_bytes,std_packet_size,high_dns_queries,ip_only_traffic,dns_queries,frequent_beaconing_detected,unique_flows,many_unique_ips,uncommon_ports_used,unique_dest_ips,suspicious_user_agent,skew_packet_size,avg_packet_size,max_packet_size,min_inter_arrival_time,total_packets,min_packet_size,flow_entropy,max_inter_arrival_time,avg_inter_arrival_time,avg_flow_duration,label
000DDCEE5F9FA00F4652828CB2D4E4B08A3A422F4472D01F56886A40744BF4BD,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.205574,10.141167,0,1,0.0,0,1.9040728,0,0,1.4466642,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/535.14.3 (KHTML, like Gecko) Version/4.0.5 Safari/535.14.3",0.47443467,9.559165,11.090456,0.0,9.412546,4.107741,1.072332,2.2148545,0.010942344,0.01094255,1
00052B3AB096E61C3008AE77AA6C7DE22C28B08CFB61BCCDFC6128F373209139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,17.530388,10.214024,0,1,0.0,0,1.7438198,0,0,1.4466642,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_3_5 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) FxiOS/12.3f9424.0 Mobile/33C678 Safari/531.1",0.48515013,9.776804,11.08891,0.0,9.412546,4.0789013,1.072332,2.4474683,0.008267727,0.008269025,0
0005082EE5323640027993C96117E03A8D2A6A5FE8A3CE4128E24E04174FBD9D,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,17.060862,10.12281,0,1,0.0,0,2.1592457,0,0,1.4466642,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/5.1),0.4490063,9.533931,11.086875,0.0,9.412546,4.1106987,1.072332,2.9944122,0.02527741,0.025275618,0
000287DD9FB45D48634157C56FDE589F5F6D1D27070827296121C723E3B5941C,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,16.9022,10.209076,0,1,0.0,0,1.7125614,0,0,1.4466642,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; pt-BR) AppleWebKit/532.8.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B115 Safari/6532.8.7",0.48887074,9.787594,11.085525,0.0,9.412546,4.1107936,1.072332,3.0377011,0.023465829,0.023477538,1
00052B3AB096E61C3008AE77AA6C7DE22C28B08CFB61BCCDFC6128F373209139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,16.817232,10.073254,0,1,0.0,0,2.194674,0,0,1.4466642,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_4 rv:3.0; zu-ZA) AppleWebKit/532.4.1 (KHTML, like Gecko) Version/4.1 Safari/532.4.1",0.414668,9.412322,11.090086,0.0,9.412546,4.104258,1.072332,3.1125247,0.022793815,0.022795364,0
00026B5BA69D84234A229C2638D90FB4287B1C7E5DF5987F6E3028AA02EF1CD7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,17.444342,10.132147,0,1,0.0,0,2.12589,0,0,1.4466642,Opera/8.80.(X11; Linux i686; ps-AF) Presto/2.9.169 Version/11.00,0.437696,9.56231,11.08339,0.0,9.412546,4.060115,1.072332,2.7393036,0.008803705,0.008803218,1
com_pratilipi_comics,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,15.841125,9.93945,0,1,0.0,1,1.9754739,0,0,1.4466642,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/3.1),0.33324516,9.093713,11.087898,0.0,9.412546,4.109049,1.072332,1.8081472,0.02063342,0.020627178,1
000D44B413E70C3C02D3BC6D8E8FA4B17CC82E800974EA705201CBB6932EA41C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,17.607512,10.231553,0,1,0.0,0,1.9978375,0,0,1.4466642,Mozilla/5.0 (Windows NT 11.0; kl-GL; rv:1.9.0.20) Gecko/4467-10-02 22:11:15.080627 Firefox/3.6.4,0.50770104,9.841326,11.08932,0.0,9.412546,3.9888115,1.072332,1.9011186,0.009557115,0.009555147,1
maxplayer_mediaplayer_videoplayer,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,19.005543,10.246537,0,1,0.0,0,2.658825,0,0,1.4466642,Mozilla/5.0 (Android 4.4.3; Mobile; rv:13.0) Gecko/13.0 Firefox/13.0,0.505013,9.855472,11.089208,0.0,9.412546,4.09636,1.072332,3.235698,0.009188289,0.009190031,0
000DDCEE5F9FA00F4652828CB2D4E4B08A3A422F4472D01F56886A40744BF4BD,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,18.066563,10.182091,0,1,0.0,0,2.8586552,0,0,1.4466642,"Mozilla/5.0 (Windows 98) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/47.0.874.0 Safari/536.0",0.44178122,9.632093,11.08928,0.0,9.412546,3.8862655,1.072332,2.7900124,0.009910075,0.00991254,0
