app_name,srv_androidx.room.multiinstanceinvalidationservice,rcv_androidx.work.impl.background.systemalarm.constraintproxyupdatereceiver,perm_android.permission.access_adservices_topics,prv_com.google.firebase.provider.firebaseinitprovider,srv_androidx.work.impl.background.systemjob.systemjobservice,rcv_androidx.work.impl.background.systemalarm.constraintproxy$networkstateproxy,srv_com.google.android.datatransport.runtime.backends.transportbackenddiscovery,act_com.google.android.play.core.common.playcoredialogwrapperactivity,perm_com.google.android.finsky.permission.bind_get_install_referrer_service,rcv_androidx.work.impl.background.systemalarm.constraintproxy$batterychargingproxy,rcv_com.google.android.gms.measurement.appmeasurementreceiver,rcv_androidx.work.impl.background.systemalarm.constraintproxy$batterynotlowproxy,rcv_com.google.android.datatransport.runtime.scheduling.jobscheduling.alarmmanagerschedulerbroadcastreceiver,srv_androidx.work.impl.background.systemalarm.systemalarmservice,srv_com.google.firebase.components.componentdiscoveryservice,perm_com.google.android.gms.permission.ad_id,perm_android.permission.access_adservices_attribution,srv_com.google.android.datatransport.runtime.scheduling.jobscheduling.jobinfoschedulerservice,prv_com.google.android.gms.ads.mobileadsinitprovider,srv_com.google.android.gms.measurement.appmeasurementjobservice,perm_android.permission.foreground_service,srv_androidx.work.impl.foreground.systemforegroundservice,srv_com.google.android.gms.ads.adservice,rcv_androidx.work.impl.diagnostics.diagnosticsreceiver,rcv_androidx.profileinstaller.profileinstallreceiver,act_com.google.android.gms.ads.outofcontexttestingactivity,rcv_androidx.work.impl.utils.forcestoprunnable$broadcastreceiver,perm_android.permission.post_notifications,rcv_androidx.work.impl.background.systemalarm.constraintproxy$storagenotlowproxy,prv_androidx.startup.initializationprovider,perm_android.permission.access_adservices_ad_id,srv_com.google.android.gms.measurement.appmeasurementservice,rcv_androidx.work.impl.background.systemalarm.reschedulereceiver,access_location,write_file,used_requestnetwork,read_contacts,used_sendtextmessage,has_fatal_exception,activity_started,max_inter_arrival_time,unique_dest_ips,avg_inter_arrival_time,uncommon_ports_used,suspicious_user_agent,skew_packet_size,flow_entropy,std_packet_size,ip_only_traffic,high_dns_queries,total_bytes,dns_queries,many_unique_ips,min_packet_size,avg_packet_size,min_inter_arrival_time,total_packets,frequent_beaconing_detected,max_packet_size,avg_flow_duration,unique_flows,label
com_pm_ambanimatkad,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,3.0493469203936536,2.0794415416798357,0.0232437345997722,0,0,0.4682304534989902,0.7839229608880461,10.164140529549028,1,0,17.41993902721266,0.0,0,3.8918202981106265,9.654010090392836,0.0,7.766416898019656,1,11.088476294450215,0.0232437345997722,2.3978952727983707,0
com_policybazaar,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2.9583346218113435,2.0794415416798357,0.0160083687720074,0,0,0.5059944618959787,0.7900284325151334,10.225394683709425,1,0,18.045620128932104,0.0,0,3.8918202981106265,9.81243738137364,0.0,8.233503140233994,1,11.090614254734977,0.0160083687720074,2.302585092994046,0
com_pixlr_express,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,3.044621614934107,2.1972245773362196,0.0144886275506197,0,0,0.5114158590824267,0.800711991202299,10.228767967677634,1,0,18.159415961832575,0.0,0,3.8918202981106265,9.829329338909607,0.0,8.330381569349418,0,11.088476294450215,0.0144886275506197,2.5649493574615367,0
com_playhome_plus,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3.3280062440486247,1.9459101490553132,0.0044788684735055,0,0,0.5016700087095993,0.7041054190435979,10.256065203809907,1,0,19.1902893454887,0.0,0,3.044522437723423,9.906376686004602,0.0,9.284055409798464,0,11.088476294450215,0.0044788684735055,2.1972245773362196,0
com_randomchat_camtocam_onlinevideocall_livetalkvideocall,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,3.585487443139487,2.0794415416798357,0.0425169747809067,0,0,0.4231930852244682,0.7892227294013201,10.078429239073223,1,0,16.656473385294557,0.0,0,3.8918202981106265,9.44425800425685,0.0,7.213031659834869,0,11.088476294450215,0.0425169747809067,2.3978952727983707,0
com_pratilipi_mobile_android,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,3.5786867299824214,2.1972245773362196,0.0315526557993595,0,0,0.4746231417655713,0.869870505755959,10.177144429926644,1,0,17.189840213190124,0.0,0,3.8918202981106265,9.683860282988777,0.0,7.506591780070841,0,11.088476294450215,0.0315526557993595,2.5649493574615367,0
com_pratilipi_comics,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,3.2809383969288812,2.0794415416798357,0.0477229859027517,0,0,0.4323375502701206,0.9118362335438148,10.105102352634486,1,0,16.567509635791133,0.0,0,3.8918202981106265,9.496860554742218,0.0,7.071573364211532,1,11.088476294450215,0.0477229859027517,2.3978952727983707,0
com_photo_android_camera,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,3.8006650774031714,1.9459101490553132,0.0125972868264884,0,0,0.2958738547956573,0.8177013544595134,9.772302998671831,1,0,17.12100335872288,0.0,0,4.110873864173311,8.717366549150235,0.0,8.4040244933106,0,11.088476294450215,0.0125972868264884,2.0794415416798357,0
com_probadosoft_moonphasecalendar,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2.9335599667335113,2.0794415416798357,0.041044229389463,0,0,0.4562357040616427,0.8845019445253146,10.141559460180789,1,0,16.841342264291814,0.0,0,3.044522437723423,9.599327633104542,0.0,7.242797922793756,0,11.088476294450215,0.041044229389463,2.3978952727983707,0
com_railyatri_in_mobile,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,3.36967416805976,2.0794415416798357,0.0242625018024383,0,0,0.4913913591085644,0.7994915698094363,10.210219698506682,1,0,17.51302844316311,0.0,0,3.044522437723423,9.76032130727228,0.0,7.753194269884341,0,11.088476294450215,0.0242625018024383,2.3978952727983707,0
