app_name,access_location,read_contacts,used_sendtextmessage,has_fatal_exception,activity_started,used_requestnetwork,write_file
com_ryzmedia_tatasky,1,0,0,0,0,0,1
com_rpsg_lsg,1,0,0,0,0,0,1
com_sinyee_babybus_shopping,0,0,0,0,0,0,1
com_sencatech_iwawa_iwawadraw,0,0,0,0,0,0,1
com_sadhana_astro,1,0,0,0,0,0,1
com_shaiban_audioplayer_mplayer,1,0,0,0,0,0,1
com_sinyee_babybus_marketV,0,0,0,0,0,0,1
com_rvappstudios_baby_toddler_kids_games_learning_activity,0,0,0,0,0,0,1
com_sinyee_babybus_princessII,0,0,0,0,0,0,1
com_samajsocial_app,1,0,0,0,0,0,1
com_sesameworkshop_alphabetkitchen_play,1,0,0,0,0,0,1
com_ro_mart_ro_mart,1,1,0,0,1,1,1
com_sinyee_babybus_cosmetology,0,0,0,0,0,0,1
com_sinyee_babybus_organizedII,0,0,0,0,0,0,1
com_search_music_mp3_musicplayer,0,0,0,0,0,0,1
com_scribd_app_reader0_docs,0,0,0,0,0,0,1
com_sbr_connect_steven_ptelite,1,0,0,0,0,0,1
com_simplemobiletools_calendar,0,0,0,0,0,0,1
com_service_plug_customer_app,1,0,0,0,0,0,1
com_rokit_project510_android_flutter,1,0,0,0,0,0,1
com_rs_mirae,1,0,0,0,0,1,1
com_samsung_android_oneconnect,1,0,0,0,0,0,1
com_sec_penup,1,0,0,0,0,0,1
00194CBE526FD2BB69C4ECC6D70AC4D07F3BF5D5A57F4EDDE1E0C8BAF6FB792E,1,0,0,0,1,1,1
001AA30774FEDC56F04562606A72A033B6C075F581AFECBBEAC70F41A7746539,0,0,0,0,0,0,1
001ADFD86FE877D30B8FD6C4486C777F66F07F7F33378B625A2921E660C22AB3,0,0,0,0,0,0,1
001C21A5DCD6CCDC5E1AB4048A6BCE69A890312365E1141A34A9B7D09BCFCB9D,0,0,0,0,0,0,1
0015E0519717395D757CE5C06093E17256BF847A9B5F878C8AF9762FC2D8099F,0,1,0,0,1,1,1
001BD5DE6DA8088531069B28B4F41DBBB2971C398DEA28CF1FA8EDC19B8A87BF,1,0,0,0,1,1,1
001AEFD8A1486CA38D29B2618F31DE810559D3907BB5DFD40E2A0D7618C18F21,1,0,0,0,1,0,1
001999CA2D2BD44EEA9A7BCCD10FF79571D3989B3CAA89989A227059599B42CC,0,0,0,0,0,0,1
001964E33F9B1BB7D95E4819A24F80BDE47E41F2C8854778D3777F800C085940,1,0,0,0,0,1,1
00157C561F3830D24E231295256CB69FE5F49395D7725BD00A755F7C18CE6978,0,0,0,1,1,0,1
00161EEB5EE26608654185D97F4277FC114C591294215DDAC7E38A60784D3265,0,0,0,0,0,1,1
001AC3E574F1350DE51A71987D72B205A61063FF469BCEEAB6965556805B665F,0,0,0,0,0,0,1
00153B440FC9F94EB44BAABC136EDA338053146066A46D265A4BABFB610B5273,0,0,0,1,1,0,1
0017B67588D03D2A1E888D143B0D61596DD7BAE942AE34055997C3E9B43D5E29,0,0,0,1,1,0,1
001AD2BA51E9C6A52831879B2872865318626981560F5FD599961EC786D75583,1,0,0,0,1,0,1
0015AC8312D8B0EF9A19DE03C66AEBC1867E72363CCB35A7D0749DE97AC305A0,0,0,0,0,0,0,1
