app_name,access_location,act_com.facebook.facebookactivity,activity_started,avg_flow_duration,avg_packet_size,flow_entropy,frequent_beaconing_detected,has_fatal_exception,max_inter_arrival_time,max_packet_size,min_packet_size,perm_android.permission.change_wifi_state,perm_android.permission.read_phone_state,prv_com.google.android.gms.ads.mobileadsinitprovider,rcv_androidx.work.impl.background.systemalarm.constraintproxy$storagenotlowproxy,rcv_com.google.firebase.iid.firebaseinstanceidreceiver,read_contacts,srv_com.google.android.gms.ads.adservice,srv_com.google.android.gms.auth.api.signin.revocationboundservice,srv_com.google.android.gms.measurement.appmeasurementservice,total_packets,unique_dest_ips,used_requestnetwork,label
com_radio_fmradio,1,1,1,0.011284805831547,9.915767034069614,0.7713955614835343,1,0,2.93675684053542,11.0888260448935,3.890016510527619,1,1,1,1,1,0,0,1,1,9.284414359075148,2.4435197177908914,0,0
com_athermobileapp,0,1,0,0.0176318837675309,9.807209167132113,0.7872019159636501,0,0,1.9403278631834595,11.08835841194546,3.0786358163436,1,0,1,1,1,0,1,1,1,8.136005565810994,2.0412724666263427,0,0
com_amazon_sft_rangoli_seller_app,0,1,0,0.0145845676738071,9.605651305797029,0.8352272043969657,0,0,3.205628446560276,11.088810723232893,3.052595870395459,0,1,0,0,1,0,0,0,1,7.907612810085578,1.9956144030118252,0,0
screenrecorder_recorder_editor,1,1,0,0.0147995851013439,9.592058129563664,0.7796647300841791,0,0,2.342786004313769,11.088097468647248,3.901749213862359,1,1,0,1,1,0,0,1,1,8.781706880042833,2.2831999616041747,0,0
redwhite_cricket_liveline_score,1,1,0,0.011631309076083,9.932084747292231,0.7321034277872722,0,0,2.9658800237577823,11.08886679487026,4.09580816004815,0,0,0,1,1,0,0,1,1,9.74905079449376,2.145327704655492,0,0
com_toh_mp3_music_player,0,1,0,0.015531984400884,9.855099355487717,0.7641555547166463,0,0,3.2597200542358475,11.088426864303296,4.028115949413281,1,0,1,1,1,0,0,1,1,8.560538322780449,2.014661540986512,0,0
com_suntv_sunnxt,1,1,0,0.0201674845738329,9.600241330816988,0.7800413846196271,0,0,2.310074626679776,11.088433022169411,3.0316204249628664,1,0,1,1,0,0,1,1,1,8.194040868201219,1.9582643715361605,0,0
com_messenger_sms_messages,1,1,0,0.0108807289012404,9.912692980571697,0.8454382549210723,0,0,2.8585490802460383,11.08867497359756,3.106070020573818,1,1,0,1,1,0,0,1,1,9.16778071524238,2.2001970717401496,0,0
redwhite_cricket_liveline_score,0,0,0,0.0319745671664535,9.5305797543418,0.8579778697383719,0,0,2.67588057903293,11.0879411440292,3.882589292425386,0,0,0,1,0,0,0,0,1,7.779903250710896,2.3800128480456464,0,0
com_magic_retouch,1,1,0,0.0073470646874564,9.638509905678854,0.8530322720756768,1,0,3.0228933382468437,11.088744215016757,3.891905522953316,1,1,0,1,1,0,0,1,1,8.616918782199667,2.642687422675229,0,0
com_tapastic,0,0,0,0.0128805581593712,9.596268905392986,0.7646597615106503,0,0,2.592331506441287,11.08939274078848,3.91629176032404,0,1,1,1,0,0,1,0,1,8.226377951117968,2.282899011603201,1,0
com_rapido_passenger,0,0,0,0.028417007233786,9.420432444577784,0.7660332651924356,0,0,2.9658438740264432,11.088063172085551,3.035944140847437,0,0,0,0,1,0,0,0,1,7.873649114455032,1.9480729259321377,0,0
com_catalinagroup_callrecorder,1,0,1,0.0114658738805524,9.842595907910155,0.8213127995832251,1,0,2.3775247439681904,11.088324612585078,3.886213459753951,1,1,1,1,0,0,1,0,1,9.6566819186345,2.457378640067153,0,0
